sentence_id	label
5e00e170-6ccb-4d7a-92bd-199a6bb77c85	SUBJ
d824deeb-46e5-4379-b9f9-728dc61a5596	SUBJ
MIS_2120-curl_05_035	OBJ
29663b63-b77c-4464-84b3-05f9715e95ea	OBJ
fbacf0ffef2624ef0b3ffdec473a8c68ecd984a3	SUBJ
74ac9937-8150-4b54-8aa2-99f41b415262	SUBJ
5fc36146-b16d-4ebf-a4cc-2752142f2258	SUBJ
61146d6de7a800ab6cf976e1e5217b5076f179d3	OBJ
61bd082c-abbb-432b-b767-412cdbf7ef4d	OBJ
c700301a-9193-4cd0-93c4-1d2b275c353a	SUBJ
e0218dfe-4b69-4dc7-80eb-f4ac64b2e1c9	OBJ
CNN_5_8	SUBJ
MIS_1507-eurl_01_002	OBJ
e91f8684-211b-4b0e-9be2-e339a88ff3aa	SUBJ
3db85344-0a6f-4549-8caf-932500667478	SUBJ
MIS_446-eurl_01_004	SUBJ
247c338f-db78-46e8-ab72-dbd4bcb44355	SUBJ
f72eb74f-6aff-4e16-9172-5da3b161975e	SUBJ
23ec9ba0-dca7-4b4a-9b05-f943ff6d176a	OBJ
CNN_14_8	SUBJ
ef5d5d08-b241-4273-81fe-c4de64fe89f6	SUBJ
643c1872-e0ad-4b82-becc-386725e5dca9	OBJ
152c8728-e6bd-4e3e-9458-0086d3424be2	OBJ
015a9c47bab888fd3f4f66b24d1243f6cc7f6784	SUBJ
MIS_1520-eurl_02_006	OBJ
2addba33-5429-4d35-800c-43f8efcf41c9	SUBJ
6b3faecc-594e-4a96-a016-0a04723f9e44	SUBJ
b6482ae5-a687-4f11-8b55-3bbe328e7f0f	OBJ
AJ_20_14	OBJ
345c17197e9b938cd5e3aa9b1024a92cbad68278	SUBJ
AFP_584-eurl_02_020	OBJ
6aa0cc69-033f-4920-8500-2fc2344e22d0	OBJ
4bb075eb-d423-4f39-a3cf-721929586d22	OBJ
FAT_726-eurl_02_015	OBJ
e8fd54a7-9ec3-4511-9d00-8b9c09ecad8c	OBJ
d3860dbd-728e-42ad-bce8-2ef0926957f4	SUBJ
FAT_313-eurl_02_004	OBJ
8c9f01df-e1b6-4aad-96ec-50b2e40e417d	OBJ
18a09a14-0a46-4dab-a866-f17f08770285	OBJ
MIS_2357-eurl_03_001	OBJ
